[2026-07-08 11:42:39.930] RAW   | (sin encuadre) HEX[06]  ASCII[]
[2026-07-08 11:42:42.692] STM32 | Reset: POR/BOR (brownout o power-on)
[2026-07-08 11:42:42.712] STM32 | Black Pill Iniciada
[2026-07-08 11:42:42.728] STM32 | EEPROM OK
[2026-07-08 11:42:46.872] STM32 | [BRIDGE] USB CDC listo
[2026-07-08 11:42:47.119] STM32 | [LINE]: *ATREADY: 1
[2026-07-08 11:42:47.244] STM32 | [LINE]: +CPIN: READY
[2026-07-08 11:42:48.182] STM32 | [LINE]: SMS DONE
[2026-07-08 11:42:55.229] STM32 | [LINE]: +CGEV: EPS PDN ACT 1
[2026-07-08 11:42:55.307] STM32 | [TIME 12537 ms] [URC]: +CGEV: EPS PDN ACT 1
[2026-07-08 11:42:55.327] STM32 | [TX-STATUS] ATE0
[2026-07-08 11:42:55.338] STM32 |  -> 0
[2026-07-08 11:42:55.453] STM32 | [LINE]: ATE0
[2026-07-08 11:42:55.475] STM32 | [LINE]: OK
[2026-07-08 11:42:55.518] STM32 | [TX-STATUS] AT+CMEE=2
[2026-07-08 11:42:55.518] STM32 |  -> 0
[2026-07-08 11:42:55.534] STM32 | [LINE]: OK
[2026-07-08 11:42:55.589] STM32 | [TX-STATUS] AT+CPIN?
[2026-07-08 11:42:55.589] STM32 |  -> 0
[2026-07-08 11:42:55.619] STM32 | [LINE]: +CPIN: READY
[2026-07-08 11:42:55.670] STM32 | [TX-STATUS] AT+CSQ
[2026-07-08 11:42:55.670] STM32 |  -> 0
[2026-07-08 11:42:55.690] STM32 | [LINE]: OK
[2026-07-08 11:42:55.710] STM32 | [LINE]: +CSQ: 27,99
[2026-07-08 11:42:55.750] STM32 | [TX-STATUS] AT+CFUN?
[2026-07-08 11:42:55.750] STM32 |  -> 0
[2026-07-08 11:42:55.782] STM32 | [LINE]: OK
[2026-07-08 11:42:55.807] STM32 | [LINE]: +CFUN: 1
[2026-07-08 11:42:55.859] STM32 | [TX-STATUS] AT+CREG?
[2026-07-08 11:42:55.860] STM32 |  -> 0
[2026-07-08 11:42:55.880] STM32 | [LINE]: OK
[2026-07-08 11:42:55.900] STM32 | [TX-STATUS] ATE0
[2026-07-08 11:42:55.920] STM32 |  -> 0
[2026-07-08 11:42:55.940] STM32 | [LINE]: +CREG: 0,1
[2026-07-08 11:42:55.960] STM32 | [LINE]: OK
[2026-07-08 11:42:55.980] STM32 | [TX-STATUS] AT+CMEE=2
[2026-07-08 11:42:56.002] STM32 |  -> 0
[2026-07-08 11:42:56.010] STM32 | [LINE]: OK
[2026-07-08 11:42:56.061] STM32 | [TX-STATUS] AT+CPIN?
[2026-07-08 11:42:56.062] STM32 |  -> 0
[2026-07-08 11:42:56.082] STM32 | [LINE]: OK
[2026-07-08 11:42:56.109] STM32 | [LINE]: +CPIN: READY
[2026-07-08 11:42:56.160] STM32 | [TX-STATUS] AT+CSQ
[2026-07-08 11:42:56.160] STM32 |  -> 0
[2026-07-08 11:42:56.180] STM32 | [LINE]: OK
[2026-07-08 11:42:56.200] STM32 | [LINE]: +CSQ: 27,99
[2026-07-08 11:42:56.240] STM32 | [TX-STATUS] AT+CFUN?
[2026-07-08 11:42:56.240] STM32 |  -> 0
[2026-07-08 11:42:56.272] STM32 | [LINE]: OK
[2026-07-08 11:42:56.298] STM32 | [LINE]: +CFUN: 1
